# CIS_ID | Check_Type | Path/Privilege | Key_Name/Subcategory | Value_Type | Value_Override
18.10.7.2 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer | NoDriveTypeAutoRun | POLICY_DWORD | 255
18.10.7.3 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\Explorer | NoAutorunForNonVolume | POLICY_DWORD | 1
18.10.8.1.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures | EnhancedAntiSpoofing | POLICY_DWORD | 1
18.10.14.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\CloudContent | DisableConsumerAccountStateContent | POLICY_DWORD | 1
18.10.25.1.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\Application | Retention | POLICY_DWORD | 0
18.10.25.1.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\Application | MaxSize | POLICY_DWORD | [32768..MAX]
18.10.25.2.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\Security | Retention | POLICY_DWORD | 0
18.10.25.2.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\Security | MaxSize | POLICY_DWORD | [196608..MAX]
18.10.25.3.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup | Retention | POLICY_DWORD | 0
18.10.25.3.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\Setup | MaxSize | POLICY_DWORD | [32768..MAX]
18.10.25.4.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\System | Retention | POLICY_DWORD | 0
18.10.25.4.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\EventLog\System | MaxSize | POLICY_DWORD | [32768..MAX]
18.10.42.7.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows Defender\MpEngine | EnableFileHashComputation | POLICY_DWORD | 1
18.10.42.13.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows Defender\Scan | DisablePackedExeScanning | POLICY_DWORD | 1
18.10.56.2.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services | fPromptForPassword | POLICY_DWORD | 1
18.10.57.3.10.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services | MaxIdleTime | POLICY_DWORD | [1..900000]
18.10.88.1.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WinRM\Client | AllowDigest | POLICY_DWORD | 0
18.10.88.1.3 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WinRM\Client | AllowUnencryptedTraffic | POLICY_DWORD | 0
18.10.88.2.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WinRM\Service | AllowBasic | POLICY_DWORD | 0
18.10.88.2.3 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WinRM\Service | AllowUnencryptedTraffic | POLICY_DWORD | 0
18.10.90.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WinRM\Service | AllowRemoteShellAccess | POLICY_DWORD | 0
18.10.91.2.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection | DisallowExploitProtectionOverride | POLICY_DWORD | 1
18.10.92.1.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU | NoAutoRebootWithLoggedOnUsers | POLICY_DWORD | 0
18.10.92.2.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU | ScheduledInstallDay | POLICY_DWORD | 0
